sentence,label,polygon_name,h3_cell,latitude,longitude,source,region,source_url
"territorio a forma di triangolo nell'Africa nord-orientale, conteso da Egitto e Sudan e amministrato dall'Egitto.",no,مثلث حلايب,8353a0fffffffff,22.650665150000002,35.5948757,description,egypt,https://www.openstreetmap.org/relation/4081614
Si offrono lezioni private di tennis.,no,,83674cfffffffff,10.46229565,-66.83131295000001,description,venezuela,https://www.openstreetmap.org/way/585252064
Uno dei numerosi presenti nella zona.,no,Tar-o Sar (outer site),834353fffffffff,30.58889775,62.066776450000006,description,afghanistan,https://www.openstreetmap.org/way/548041915
Scoperto per caso da Ray Martin mentre sorvolava la zona a 11.000 metri.,no,Running Man Rock,839d4dfffffffff,-22.2342085,138.59343255,description,australia,https://www.openstreetmap.org/way/1357774915
Spogliatoio per le sorgenti termali,no,,831b20fffffffff,60.50744835,-45.333777749999996,description,greenland,https://www.openstreetmap.org/way/235199923
"Diversi uomini menzionati nel film/libro «We of the Never Never»: Aeneas James Gunn, The Maluka, John McLennan, Tom Pearce, J.H. George Conway, William Cleary, Jack Angus Grant, Edward Liddle.",no,Elsey Cemetery,839c4bfffffffff,-15.07868075,133.1233692,description,australia,https://www.openstreetmap.org/way/263012688
Le parti della terraferma australiana classificate BW nel sistema di classificazione climatica di Köppen–Geiger.,no,,83b81bfffffffff,-26.442344900000002,128.98425255,description,australia,https://www.openstreetmap.org/relation/8043873
Sembra che manchi un angolo della struttura.,no,,836a12fffffffff,4.7370529,22.7134542,description,central-african-republic,https://www.openstreetmap.org/way/847721727
Pensione,no,La caz' a Chisy,83a250fffffffff,-21.13996735,55.4892943,description,reunion,https://www.openstreetmap.org/way/1019728759
vende manufatti realizzati da artisti locali,no,Local Artists Tamarindo,836d6afffffffff,10.29873755,-85.84095925,description,costa-rica,https://www.openstreetmap.org/way/392328154
"All'interno, gli arredi contemporanei e la rotonda delle scale sono stati conservati.",no,"Beer, Sondheimer & Co. Gebäude",831faefffffffff,50.1159844,8.6676173,description,hessen,https://www.openstreetmap.org/way/42730588
"L'elettricità alimenta la miniera di bauxite di Weipa, gli impianti di lavorazione e il centro abitato situato sul lato occidentale della penisola di Cape York, nel Queensland, in Australia.",no,Weipa Solar Farm,839ce4fffffffff,-12.64685385,141.85648745,description,australia,https://www.openstreetmap.org/way/1229842269
per gli studenti impegnati nella ricerca,no,ABU Institute lib,835818fffffffff,11.15120385,7.65502275,description,nigeria,https://www.openstreetmap.org/way/483941738
Rottami metallici o qualcosa del genere?,no,,83540cfffffffff,15.16910425,-12.176872849999999,description,mauritania,https://www.openstreetmap.org/way/1079848653
