sentence,label,polygon_name,h3_cell,latitude,longitude,source,region,source_url
"Şimal-şərqi Afrikada yerləşən, Misir və Sudan arasında mübahisəli olan və Misir tərəfindən idarə edilən üçbucaqşəkilli ərazi.",no,مثلث حلايب,8353a0fffffffff,22.650665150000002,35.5948757,description,egypt,https://www.openstreetmap.org/relation/4081614
Fərdi tennis dərsləri təklif olunur.,no,,83674cfffffffff,10.46229565,-66.83131295000001,description,venezuela,https://www.openstreetmap.org/way/585252064
Ərazidəki bir neçə obyektdən biri.,no,Tar-o Sar (outer site),834353fffffffff,30.58889775,62.066776450000006,description,afghanistan,https://www.openstreetmap.org/way/548041915
Ray Martin tərəfindən 11 000 metr yüksəklikdən uçarkən təsadüfən aşkar edilib.,no,Running Man Rock,839d4dfffffffff,-22.2342085,138.59343255,description,australia,https://www.openstreetmap.org/way/1357774915
İsti bulaqlar üçün soyunub-geyinmə otağı,no,,831b20fffffffff,60.50744835,-45.333777749999996,description,greenland,https://www.openstreetmap.org/way/235199923
"“We of the Never Never” filmi/kitabında adı çəkilən bir neçə kişi: Aeneas James Gunn, The Maluka, John McLennan, Tom Pearce, J.H. George Conway, William Cleary, Jack Angus Grant, Edward Liddle.",no,Elsey Cemetery,839c4bfffffffff,-15.07868075,133.1233692,description,australia,https://www.openstreetmap.org/way/263012688
Köppen–Geiger iqlim təsnifatında BW kimi təsnif edilən Avstraliya materikinin hissələri.,no,,83b81bfffffffff,-26.442344900000002,128.98425255,description,australia,https://www.openstreetmap.org/relation/8043873
"Görünür, konstruksiyanın bir küncü çatışmır.",no,,836a12fffffffff,4.7370529,22.7134542,description,central-african-republic,https://www.openstreetmap.org/way/847721727
Qonaq evi,no,La caz' a Chisy,83a250fffffffff,-21.13996735,55.4892943,description,reunion,https://www.openstreetmap.org/way/1019728759
Yerli rəssamların hazırladığı əl işlərini satır.,no,Local Artists Tamarindo,836d6afffffffff,10.29873755,-85.84095925,description,costa-rica,https://www.openstreetmap.org/way/392328154
İçəridə müasir mebellər və pilləkənlərin rotundası qorunub saxlanılıb.,no,"Beer, Sondheimer & Co. Gebäude",831faefffffffff,50.1159844,8.6676173,description,hessen,https://www.openstreetmap.org/way/42730588
"Elektrik enerjisi Avstraliyanın Kvinslend ştatında, Keyp-York yarımadasının qərb tərəfində yerləşən Weipa boksit mədənini, emal obyektlərini və qəsəbəni təmin edir.",no,Weipa Solar Farm,839ce4fffffffff,-12.64685385,141.85648745,description,australia,https://www.openstreetmap.org/way/1229842269
Tədqiqat tələbələri üçün,no,ABU Institute lib,835818fffffffff,11.15120385,7.65502275,description,nigeria,https://www.openstreetmap.org/way/483941738
"Metal qırıntıları, yoxsa?",no,,83540cfffffffff,15.16910425,-12.176872849999999,description,mauritania,https://www.openstreetmap.org/way/1079848653
Uçuş zolağı?,yes,Airstrip,8352e6fffffffff,15.22977665,44.983853100000005,description,yemen,https://www.openstreetmap.org/way/798881102
1966–1989-cu illərdə keçmiş SSRİ tərəfindən dənizə atılmış nüvə tullantıları,no,,830111fffffffff,72.5,35.0,description,russia-northwestern-fed-district,https://www.openstreetmap.org/relation/11285920
Naviqasiyaya keç,no,Launchpad 41/15,8321a9fffffffff,45.9736039,63.66350095,description,kazakhstan,https://www.openstreetmap.org/way/169401013
2019-cu ilin iyununda açılıb,no,Trison,8372d6fffffffff,-4.262987799999999,139.68465105,description,indonesia-papua,https://www.openstreetmap.org/way/767407882
Playa,yes,,8338d4fffffffff,26.347407500000003,1.4621255,description,algeria,https://www.openstreetmap.org/way/1251874682
